Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
3/14/2024,PA008,Perth,New York,Premium Economy,1127.5,Yes,1,None
7/3/2024,PA008,Perth,New York,Premium Economy,1457.5,Yes,1,Egg Free
2/4/2024,PA001,London,New York,Business Class,793.2,Yes,0,None
7/12/2024,PA007,New York,Perth,First Class,346,Yes,0,Dairy Free
6/2/2024,PA010,Tokyo,New York,Business Class,649.2,Yes,1,None
9/28/2024,PA003,London,Perth,Premium Economy,937.5,Yes,1,Egg Free
8/9/2024,PA004,Perth,London,Business Class,547.2,Yes,3,Vegetarian
5/28/2024,PA010,Tokyo,New York,Economy,3295,Yes,1,Egg Free
3/11/2024,PA011,Perth,Tokyo,First Class,438,Yes,3,None
7/26/2024,PA005,London,Tokyo,Premium Economy,510,Yes,1,Dairy Free
6/1/2024,PA006,Tokyo,London,Business Class,782.4,Yes,0,Vegetarian
3/28/2024,PA010,Tokyo,New York,Business Class,568.8,Yes,3,Egg Free
12/16/2024,PA006,Tokyo,London,Economy,3150,Yes,2,Vegan
11/9/2024,PA010,Tokyo,New York,First Class,613,Yes,1,Egg Free
7/7/2024,PA009,New York,Tokyo,Economy,2700,Yes,2,Nut Free
10/3/2024,PA005,London,Tokyo,Economy,1150,Yes,3,None
1/12/2024,PA010,Tokyo,New York,Business Class,313.2,Yes,3,Vegan
8/30/2024,PA009,New York,Tokyo,Economy,2875,Yes,1,Dairy Free
1/23/2024,PA009,New York,Tokyo,First Class,603,Yes,1,Egg Free
4/17/2024,PA011,Perth,Tokyo,First Class,362,Yes,2,Dairy Free
11/24/2024,PA005,London,Tokyo,First Class,322,Yes,3,Vegetarian
11/20/2024,PA011,Perth,Tokyo,First Class,678,Yes,1,Egg Free
12/16/2024,PA004,Perth,London,Premium Economy,1410,Yes,1,Egg Free
6/15/2024,PA005,London,Tokyo,Economy,1775,Yes,1,Egg Free
6/23/2024,PA010,Tokyo,New York,Business Class,291.6,Yes,2,Dairy Free
6/5/2024,PA008,Perth,New York,First Class,316,Yes,3,Egg Free
10/24/2024,PA010,Tokyo,New York,Business Class,333.6,Yes,2,Egg Free
2/28/2024,PA009,New York,Tokyo,First Class,403,Yes,3,None
6/6/2024,PA001,London,New York,Business Class,570,Yes,2,None
9/20/2024,PA010,Tokyo,New York,Premium Economy,1305,Yes,0,Egg Free
2/19/2024,PA004,Perth,London,First Class,260,Yes,1,Dairy Free
12/10/2024,PA011,Perth,Tokyo,Economy,2830,Yes,2,Vegan
11/12/2024,PA009,New York,Tokyo,First Class,344,Yes,2,Vegan
9/28/2024,PA009,New York,Tokyo,Economy,3390,Yes,2,Dairy Free
10/2/2024,PA001,London,New York,First Class,517,Yes,2,Vegan
8/12/2024,PA006,Tokyo,London,Premium Economy,615,Yes,3,Vegetarian
10/7/2024,PA008,Perth,New York,First Class,642,Yes,3,Vegetarian
4/4/2024,PA005,London,Tokyo,First Class,521,Yes,0,Nut Free
7/30/2024,PA003,London,Perth,First Class,612,Yes,1,Vegetarian
5/29/2024,PA009,New York,Tokyo,Business Class,294,Yes,0,Nut Free
1/4/2024,PA002,New York,London,First Class,684,Yes,1,Dairy Free
1/16/2024,PA007,New York,Perth,Business Class,406.8,Yes,3,None
8/9/2024,PA003,London,Perth,Premium Economy,1572.5,Yes,3,Nut Free
7/13/2024,PA010,Tokyo,New York,First Class,403,Yes,1,Nut Free
10/13/2024,PA012,Tokyo,Perth,Premium Economy,1352.5,Yes,0,Dairy Free
7/20/2024,PA011,Perth,Tokyo,First Class,606,Yes,1,Egg Free
8/27/2024,PA005,London,Tokyo,Economy,3080,Yes,2,Vegetarian
3/25/2024,PA002,New York,London,Premium Economy,1342.5,Yes,2,Dairy Free
8/9/2024,PA006,Tokyo,London,Business Class,658.8,Yes,2,Vegan
5/22/2024,PA006,Tokyo,London,Premium Economy,1660,Yes,3,Egg Free
1/14/2024,PA012,Tokyo,Perth,First Class,379,Yes,0,Egg Free
9/6/2024,PA006,Tokyo,London,Business Class,272.4,Yes,1,Vegan
4/11/2024,PA011,Perth,Tokyo,Economy,1410,Yes,0,Nut Free
9/1/2024,PA005,London,Tokyo,Business Class,243.6,Yes,1,None
11/18/2024,PA008,Perth,New York,Premium Economy,1127.5,Yes,1,None
12/31/2024,PA005,London,Tokyo,First Class,247,Yes,3,Nut Free
8/3/2024,PA011,Perth,Tokyo,Economy,2695,Yes,0,Nut Free
5/31/2024,PA009,New York,Tokyo,First Class,484,Yes,1,None
12/19/2024,PA006,Tokyo,London,First Class,216,Yes,1,Egg Free
2/7/2024,PA001,London,New York,Business Class,266.4,Yes,0,None
1/24/2024,PA012,Tokyo,Perth,Economy,3370,Yes,0,Vegan
1/21/2024,PA012,Tokyo,Perth,Business Class,422.4,Yes,0,Vegetarian
4/18/2024,PA003,London,Perth,First Class,350,Yes,1,Egg Free
7/11/2024,PA011,Perth,Tokyo,First Class,237,Yes,2,Vegetarian
11/19/2024,PA006,Tokyo,London,Premium Economy,1295,Yes,3,None
12/19/2024,PA001,London,New York,Business Class,571.2,Yes,1,Dairy Free
2/3/2024,PA008,Perth,New York,Business Class,421.2,Yes,3,Dairy Free
2/6/2024,PA004,Perth,London,First Class,306,Yes,2,Dairy Free
4/10/2024,PA011,Perth,Tokyo,Economy,1695,Yes,0,Vegetarian
11/21/2024,PA006,Tokyo,London,Business Class,367.2,Yes,0,None
2/16/2024,PA003,London,Perth,First Class,618,Yes,3,Nut Free
12/2/2024,PA001,London,New York,Premium Economy,1037.5,Yes,3,Vegetarian
8/11/2024,PA008,Perth,New York,Business Class,294,Yes,3,Vegan
12/11/2024,PA008,Perth,New York,Business Class,834,Yes,0,Egg Free
4/9/2024,PA008,Perth,New York,Premium Economy,1307.5,Yes,0,None
3/6/2024,PA006,Tokyo,London,Premium Economy,1220,Yes,2,Nut Free
10/25/2024,PA007,New York,Perth,First Class,485,Yes,3,Dairy Free
7/11/2024,PA002,New York,London,Economy,3080,Yes,2,Nut Free
3/13/2024,PA005,London,Tokyo,First Class,518,Yes,1,Dairy Free
1/24/2024,PA011,Perth,Tokyo,Economy,3060,Yes,3,Vegan
9/17/2024,PA001,London,New York,Economy,2000,Yes,3,Vegan
8/8/2024,PA001,London,New York,First Class,627,Yes,1,Nut Free
12/23/2024,PA009,New York,Tokyo,Premium Economy,922.5,Yes,2,Egg Free
5/14/2024,PA001,London,New York,Business Class,583.2,Yes,2,Vegan
2/15/2024,PA008,Perth,New York,Premium Economy,1732.5,Yes,3,Nut Free
10/2/2024,PA010,Tokyo,New York,Premium Economy,927.5,Yes,3,Vegetarian
9/16/2024,PA001,London,New York,Economy,2415,Yes,2,None
7/10/2024,PA009,New York,Tokyo,Premium Economy,1142.5,Yes,2,None
8/12/2024,PA003,London,Perth,Economy,2750,Yes,1,Dairy Free
3/6/2024,PA012,Tokyo,Perth,Economy,1380,Yes,0,Egg Free
1/28/2024,PA004,Perth,London,Economy,2990,Yes,3,Nut Free
7/24/2024,PA012,Tokyo,Perth,Premium Economy,1075,Yes,0,Vegetarian
1/17/2024,PA010,Tokyo,New York,Premium Economy,1325,Yes,0,Nut Free
3/1/2024,PA004,Perth,London,Premium Economy,1447.5,Yes,3,None
9/2/2024,PA006,Tokyo,London,First Class,642,Yes,1,Vegetarian
10/23/2024,PA009,New York,Tokyo,Premium Economy,740,Yes,0,Egg Free
7/16/2024,PA012,Tokyo,Perth,Economy,1170,Yes,2,Dairy Free
4/4/2024,PA009,New York,Tokyo,First Class,691,Yes,3,Egg Free
7/31/2024,PA005,London,Tokyo,Business Class,577.2,Yes,3,Nut Free
10/22/2024,PA006,Tokyo,London,Premium Economy,1020,Yes,1,Egg Free
8/24/2024,PA004,Perth,London,Economy,2985,Yes,2,Vegan
3/23/2024,PA003,London,Perth,Premium Economy,1302.5,Yes,3,Vegetarian
7/20/2024,PA007,New York,Perth,Premium Economy,1677.5,Yes,0,Dairy Free
5/11/2024,PA005,London,Tokyo,Business Class,747.6,Yes,1,Nut Free
11/30/2024,PA004,Perth,London,Premium Economy,1357.5,Yes,2,Nut Free
4/20/2024,PA006,Tokyo,London,Economy,3015,Yes,0,Nut Free
2/19/2024,PA008,Perth,New York,Economy,2515,Yes,2,Egg Free
4/27/2024,PA007,New York,Perth,First Class,689,Yes,0,Vegan
11/10/2024,PA009,New York,Tokyo,Premium Economy,1225,Yes,3,Nut Free
3/29/2024,PA009,New York,Tokyo,First Class,500,Yes,1,Egg Free
1/17/2024,PA005,London,Tokyo,Premium Economy,942.5,Yes,3,Nut Free
3/17/2024,PA001,London,New York,Economy,2880,Yes,0,None
9/2/2024,PA007,New York,Perth,First Class,570,Yes,1,Vegan
9/25/2024,PA003,London,Perth,Business Class,762,Yes,0,Vegan
7/21/2024,PA002,New York,London,Economy,2340,Yes,0,Nut Free
9/7/2024,PA005,London,Tokyo,First Class,388,Yes,0,Vegetarian
11/7/2024,PA007,New York,Perth,First Class,345,Yes,3,Nut Free
8/2/2024,PA002,New York,London,Premium Economy,1667.5,Yes,3,Vegetarian
8/28/2024,PA001,London,New York,Economy,1925,Yes,2,Dairy Free
2/24/2024,PA005,London,Tokyo,First Class,688,Yes,3,Egg Free
4/14/2024,PA005,London,Tokyo,Premium Economy,665,Yes,1,Nut Free
10/24/2024,PA009,New York,Tokyo,Economy,3235,Yes,0,Vegetarian
3/31/2024,PA007,New York,Perth,Premium Economy,935,Yes,3,Vegan
6/29/2024,PA002,New York,London,Business Class,452.4,Yes,1,Vegan
1/19/2024,PA005,London,Tokyo,Economy,2525,Yes,3,Egg Free
4/4/2024,PA003,London,Perth,Economy,1325,Yes,1,Nut Free
8/10/2024,PA008,Perth,New York,First Class,251,Yes,1,None
5/5/2024,PA006,Tokyo,London,Economy,1310,Yes,0,Vegan
12/2/2024,PA001,London,New York,Premium Economy,1255,Yes,2,Dairy Free
7/10/2024,PA011,Perth,Tokyo,Business Class,241.2,Yes,2,Egg Free
9/21/2024,PA007,New York,Perth,Premium Economy,807.5,Yes,0,Nut Free
10/8/2024,PA008,Perth,New York,Business Class,414,Yes,0,Vegetarian
10/7/2024,PA008,Perth,New York,Economy,2685,Yes,3,Vegan
10/4/2024,PA004,Perth,London,Premium Economy,945,Yes,1,Egg Free
10/8/2024,PA003,London,Perth,Business Class,758.4,Yes,1,Egg Free
9/15/2024,PA006,Tokyo,London,Premium Economy,1090,Yes,2,Vegan
7/29/2024,PA001,London,New York,Premium Economy,1477.5,Yes,1,Dairy Free
9/27/2024,PA012,Tokyo,Perth,Business Class,657.6,Yes,2,Vegetarian
9/28/2024,PA011,Perth,Tokyo,Business Class,580.8,Yes,2,None
9/23/2024,PA008,Perth,New York,Economy,1205,Yes,1,Dairy Free
7/30/2024,PA007,New York,Perth,Premium Economy,1632.5,Yes,2,Dairy Free
3/15/2024,PA004,Perth,London,First Class,449,Yes,2,Vegan
4/24/2024,PA011,Perth,Tokyo,Economy,1870,Yes,1,Vegetarian
11/14/2024,PA004,Perth,London,Economy,2290,Yes,2,Nut Free
7/7/2024,PA002,New York,London,Business Class,530.4,Yes,3,Nut Free
3/2/2024,PA001,London,New York,First Class,323,Yes,0,Vegan
5/8/2024,PA006,Tokyo,London,First Class,440,Yes,2,None
9/2/2024,PA012,Tokyo,Perth,Premium Economy,570,Yes,3,Nut Free
5/19/2024,PA010,Tokyo,New York,First Class,362,Yes,2,None
10/19/2024,PA002,New York,London,Premium Economy,1130,Yes,0,None
10/3/2024,PA008,Perth,New York,Economy,1140,Yes,0,Vegan
6/10/2024,PA004,Perth,London,First Class,478,Yes,3,Nut Free
2/2/2024,PA002,New York,London,Economy,1530,Yes,0,Nut Free
8/29/2024,PA007,New York,Perth,Economy,1265,Yes,3,Nut Free
11/30/2024,PA001,London,New York,First Class,401,Yes,3,Nut Free
12/5/2024,PA004,Perth,London,Business Class,609.6,Yes,0,None
11/29/2024,PA009,New York,Tokyo,Economy,2375,Yes,0,Vegetarian
10/25/2024,PA010,Tokyo,New York,First Class,466,Yes,1,Nut Free
8/28/2024,PA005,London,Tokyo,Premium Economy,1122.5,Yes,2,Dairy Free
6/15/2024,PA001,London,New York,Premium Economy,1005,Yes,3,Vegan
12/26/2024,PA008,Perth,New York,First Class,297,Yes,3,None
5/17/2024,PA002,New York,London,Premium Economy,1547.5,Yes,2,Dairy Free
7/30/2024,PA004,Perth,London,First Class,552,Yes,0,None
11/4/2024,PA008,Perth,New York,Business Class,432,Yes,0,Egg Free
10/20/2024,PA006,Tokyo,London,Premium Economy,802.5,Yes,1,None
3/29/2024,PA012,Tokyo,Perth,Business Class,508.8,Yes,2,Dairy Free
7/26/2024,PA002,New York,London,Economy,2885,Yes,0,Vegetarian
10/4/2024,PA003,London,Perth,Business Class,711.6,Yes,1,Egg Free
12/1/2024,PA010,Tokyo,New York,Premium Economy,1677.5,Yes,0,Nut Free
3/9/2024,PA012,Tokyo,Perth,Premium Economy,840,Yes,0,Nut Free
8/23/2024,PA002,New York,London,Economy,2010,Yes,2,Dairy Free
6/25/2024,PA005,London,Tokyo,Premium Economy,1152.5,Yes,2,None
4/16/2024,PA003,London,Perth,Premium Economy,825,Yes,3,Dairy Free
6/11/2024,PA005,London,Tokyo,First Class,468,Yes,1,Nut Free
8/13/2024,PA007,New York,Perth,Business Class,302.4,Yes,2,None
5/20/2024,PA001,London,New York,Business Class,799.2,Yes,0,Nut Free
1/15/2024,PA009,New York,Tokyo,Business Class,397.2,Yes,3,Dairy Free
5/21/2024,PA001,London,New York,First Class,493,Yes,0,Vegan
6/7/2024,PA008,Perth,New York,Economy,2110,Yes,0,Egg Free
1/23/2024,PA011,Perth,Tokyo,First Class,635,Yes,2,None
7/31/2024,PA002,New York,London,First Class,392,Yes,0,None
9/5/2024,PA006,Tokyo,London,Economy,3345,Yes,3,None
1/21/2024,PA009,New York,Tokyo,Business Class,352.8,Yes,0,Egg Free
4/15/2024,PA011,Perth,Tokyo,First Class,334,Yes,1,None
10/1/2024,PA012,Tokyo,Perth,First Class,382,Yes,1,None
1/17/2024,PA002,New York,London,Business Class,672,Yes,2,Vegan
3/22/2024,PA011,Perth,Tokyo,First Class,563,Yes,0,Nut Free
2/23/2024,PA012,Tokyo,Perth,Business Class,472.8,Yes,0,Dairy Free
12/9/2024,PA011,Perth,Tokyo,Economy,3460,Yes,0,Vegan
5/19/2024,PA009,New York,Tokyo,Business Class,685.2,Yes,3,Egg Free
2/12/2024,PA005,London,Tokyo,Premium Economy,1157.5,Yes,0,Vegan
4/25/2024,PA001,London,New York,First Class,295,Yes,3,None
10/8/2024,PA003,London,Perth,Business Class,655.2,Yes,1,Egg Free
2/12/2024,PA011,Perth,Tokyo,First Class,207,Yes,3,Vegetarian
6/26/2024,PA008,Perth,New York,Premium Economy,1592.5,Yes,0,Vegan
11/9/2024,PA012,Tokyo,Perth,First Class,275,Yes,2,Vegetarian
5/22/2024,PA006,Tokyo,London,Business Class,660,Yes,1,Vegan
8/5/2024,PA007,New York,Perth,Business Class,481.2,Yes,3,Egg Free
5/10/2024,PA011,Perth,Tokyo,Premium Economy,1277.5,Yes,2,Egg Free
2/11/2024,PA012,Tokyo,Perth,Business Class,595.2,Yes,1,None
7/25/2024,PA004,Perth,London,Business Class,822,Yes,1,Nut Free
12/25/2024,PA004,Perth,London,Business Class,303.6,Yes,2,Vegan
6/27/2024,PA012,Tokyo,Perth,Business Class,835.2,Yes,2,Dairy Free
8/9/2024,PA008,Perth,New York,First Class,665,Yes,3,None
4/15/2024,PA006,Tokyo,London,First Class,678,Yes,1,Egg Free
10/5/2024,PA012,Tokyo,Perth,Business Class,252,Yes,1,None
6/12/2024,PA007,New York,Perth,Business Class,721.2,Yes,3,Vegetarian
10/23/2024,PA002,New York,London,Business Class,276,Yes,2,Nut Free
6/5/2024,PA005,London,Tokyo,First Class,539,Yes,0,Dairy Free
5/1/2024,PA010,Tokyo,New York,Economy,1250,Yes,0,Vegan
10/18/2024,PA001,London,New York,Business Class,331.2,Yes,1,None
9/10/2024,PA012,Tokyo,Perth,Business Class,823.2,Yes,0,Vegan
8/9/2024,PA007,New York,Perth,Business Class,241.2,Yes,3,Dairy Free
8/27/2024,PA002,New York,London,Business Class,470.4,Yes,1,Nut Free
2/15/2024,PA011,Perth,Tokyo,First Class,371,Yes,0,Nut Free
11/21/2024,PA003,London,Perth,First Class,469,Yes,1,Vegetarian
2/2/2024,PA001,London,New York,Business Class,358.8,Yes,0,Vegan
12/13/2024,PA008,Perth,New York,First Class,208,Yes,2,Nut Free
7/2/2024,PA003,London,Perth,First Class,357,Yes,0,Dairy Free
11/2/2024,PA007,New York,Perth,Premium Economy,885,Yes,2,Nut Free
9/29/2024,PA002,New York,London,Business Class,260.4,Yes,0,Vegetarian
7/24/2024,PA009,New York,Tokyo,Economy,2040,Yes,2,Dairy Free
8/16/2024,PA008,Perth,New York,Premium Economy,765,Yes,1,Nut Free
8/21/2024,PA010,Tokyo,New York,Economy,1225,Yes,2,Nut Free
3/18/2024,PA002,New York,London,Premium Economy,1617.5,Yes,3,Vegetarian
12/20/2024,PA001,London,New York,First Class,473,Yes,1,None
2/3/2024,PA005,London,Tokyo,Business Class,330,Yes,3,Vegan
8/17/2024,PA001,London,New York,Premium Economy,522.5,Yes,1,Vegan
8/25/2024,PA002,New York,London,First Class,370,Yes,1,None
9/18/2024,PA011,Perth,Tokyo,Business Class,694.8,Yes,0,Dairy Free
2/16/2024,PA010,Tokyo,New York,First Class,340,Yes,1,None
5/1/2024,PA005,London,Tokyo,Economy,1810,Yes,0,Dairy Free
9/8/2024,PA006,Tokyo,London,Economy,1865,Yes,1,Dairy Free
7/10/2024,PA010,Tokyo,New York,Economy,2920,Yes,3,Vegan
3/29/2024,PA007,New York,Perth,First Class,698,Yes,3,Vegan
2/7/2024,PA004,Perth,London,Premium Economy,1045,Yes,0,Egg Free
3/11/2024,PA010,Tokyo,New York,First Class,561,Yes,0,None
11/28/2024,PA004,Perth,London,Economy,1220,Yes,3,Egg Free
6/12/2024,PA001,London,New York,Business Class,328.8,Yes,1,Egg Free
2/28/2024,PA003,London,Perth,First Class,660,Yes,1,Vegan
11/12/2024,PA006,Tokyo,London,Business Class,546,Yes,1,Vegan
5/28/2024,PA007,New York,Perth,First Class,622,Yes,0,Egg Free
4/13/2024,PA010,Tokyo,New York,First Class,283,Yes,3,Dairy Free
5/6/2024,PA004,Perth,London,Economy,1905,Yes,0,Nut Free
11/11/2024,PA011,Perth,Tokyo,Premium Economy,1080,Yes,2,Vegetarian
10/21/2024,PA008,Perth,New York,Premium Economy,1212.5,Yes,2,Nut Free
12/2/2024,PA004,Perth,London,Economy,2870,Yes,2,Vegetarian
11/15/2024,PA001,London,New York,Premium Economy,1590,Yes,3,Vegetarian
10/25/2024,PA006,Tokyo,London,Business Class,726,Yes,1,Dairy Free
1/17/2024,PA010,Tokyo,New York,Premium Economy,1417.5,Yes,1,Vegan
4/14/2024,PA011,Perth,Tokyo,Business Class,249.6,Yes,1,Nut Free
8/26/2024,PA007,New York,Perth,Business Class,342,Yes,3,Dairy Free
11/5/2024,PA009,New York,Tokyo,Economy,2825,Yes,3,Vegetarian
4/27/2024,PA001,London,New York,First Class,633,Yes,0,Egg Free
3/10/2024,PA010,Tokyo,New York,Premium Economy,1480,Yes,2,None
6/28/2024,PA002,New York,London,Economy,1890,Yes,1,Vegetarian
5/1/2024,PA002,New York,London,Business Class,697.2,Yes,1,Dairy Free
4/5/2024,PA003,London,Perth,First Class,315,Yes,3,Egg Free
11/10/2024,PA008,Perth,New York,First Class,554,Yes,1,Egg Free
12/2/2024,PA001,London,New York,First Class,543,Yes,2,Vegetarian
5/9/2024,PA003,London,Perth,Business Class,796.8,Yes,0,None
8/4/2024,PA008,Perth,New York,Economy,1740,Yes,1,Dairy Free
7/2/2024,PA009,New York,Tokyo,Business Class,694.8,Yes,2,Dairy Free
6/27/2024,PA007,New York,Perth,Premium Economy,720,Yes,2,Vegan
3/21/2024,PA005,London,Tokyo,Economy,1370,Yes,0,Vegan
4/14/2024,PA004,Perth,London,Business Class,362.4,Yes,0,Dairy Free
2/13/2024,PA010,Tokyo,New York,Premium Economy,1647.5,Yes,0,Dairy Free
6/28/2024,PA001,London,New York,Business Class,550.8,Yes,2,Vegetarian
5/26/2024,PA006,Tokyo,London,First Class,349,Yes,1,Nut Free
10/22/2024,PA007,New York,Perth,First Class,458,Yes,0,None
10/1/2024,PA006,Tokyo,London,Business Class,343.2,Yes,2,Vegetarian
11/6/2024,PA006,Tokyo,London,Premium Economy,1207.5,Yes,0,None
2/22/2024,PA008,Perth,New York,First Class,254,Yes,3,Dairy Free
5/24/2024,PA009,New York,Tokyo,Business Class,514.8,Yes,3,Egg Free
4/30/2024,PA012,Tokyo,Perth,Premium Economy,1452.5,Yes,0,Vegetarian
2/1/2024,PA011,Perth,Tokyo,Economy,2425,Yes,2,Nut Free
7/25/2024,PA009,New York,Tokyo,Premium Economy,750,Yes,0,Vegetarian
11/1/2024,PA012,Tokyo,Perth,First Class,608,Yes,1,None
11/25/2024,PA010,Tokyo,New York,Economy,2930,Yes,2,Egg Free
11/8/2024,PA009,New York,Tokyo,First Class,431,Yes,3,Vegan
2/7/2024,PA001,London,New York,Business Class,249.6,Yes,0,None
11/15/2024,PA005,London,Tokyo,First Class,424,Yes,1,Nut Free
11/5/2024,PA003,London,Perth,First Class,660,Yes,0,Vegan
12/29/2024,PA010,Tokyo,New York,Business Class,603.6,Yes,3,Egg Free
2/11/2024,PA007,New York,Perth,Business Class,824.4,Yes,3,Dairy Free
12/7/2024,PA009,New York,Tokyo,Economy,1615,Yes,1,Vegetarian
10/29/2024,PA007,New York,Perth,First Class,477,Yes,1,Dairy Free
8/22/2024,PA003,London,Perth,Economy,2360,Yes,2,Vegetarian
1/31/2024,PA004,Perth,London,First Class,289,Yes,2,Nut Free
6/11/2024,PA001,London,New York,Premium Economy,1340,Yes,2,Nut Free
1/5/2024,PA012,Tokyo,Perth,Business Class,336,Yes,3,Vegetarian
6/30/2024,PA006,Tokyo,London,Business Class,685.2,Yes,3,Dairy Free
7/11/2024,PA002,New York,London,Premium Economy,777.5,Yes,3,Vegan
7/29/2024,PA001,London,New York,First Class,384,Yes,0,Vegan
8/13/2024,PA010,Tokyo,New York,Business Class,289.2,Yes,1,Vegetarian
7/29/2024,PA012,Tokyo,Perth,First Class,554,Yes,2,Nut Free
7/5/2024,PA010,Tokyo,New York,Premium Economy,670,Yes,0,Egg Free
2/1/2024,PA011,Perth,Tokyo,First Class,623,Yes,2,None
10/16/2024,PA006,Tokyo,London,Premium Economy,1255,Yes,3,Nut Free
9/12/2024,PA002,New York,London,Premium Economy,1407.5,Yes,0,Vegetarian
1/25/2024,PA001,London,New York,Business Class,565.2,Yes,1,Nut Free
9/7/2024,PA008,Perth,New York,Business Class,698.4,Yes,3,Egg Free
12/13/2024,PA012,Tokyo,Perth,Premium Economy,1092.5,Yes,2,None
2/22/2024,PA002,New York,London,Premium Economy,1027.5,Yes,2,None
2/15/2024,PA005,London,Tokyo,Economy,1800,Yes,0,None
6/22/2024,PA011,Perth,Tokyo,Economy,2725,Yes,2,Nut Free
3/17/2024,PA005,London,Tokyo,Economy,2350,Yes,2,Nut Free
3/4/2024,PA008,Perth,New York,Premium Economy,1215,Yes,0,None
12/15/2024,PA006,Tokyo,London,Premium Economy,1140,Yes,2,Dairy Free
1/2/2024,PA010,Tokyo,New York,Business Class,507.6,Yes,2,Egg Free
11/13/2024,PA011,Perth,Tokyo,First Class,353,Yes,2,Vegetarian
7/13/2024,PA006,Tokyo,London,Economy,3375,Yes,2,Nut Free
9/12/2024,PA004,Perth,London,Economy,1645,Yes,0,Vegetarian
2/27/2024,PA002,New York,London,First Class,325,Yes,0,Vegan
8/4/2024,PA007,New York,Perth,Economy,2390,Yes,0,None
9/5/2024,PA001,London,New York,Premium Economy,1202.5,Yes,0,Egg Free
8/13/2024,PA007,New York,Perth,Premium Economy,815,Yes,0,Nut Free
6/4/2024,PA009,New York,Tokyo,Premium Economy,1525,Yes,2,None
12/18/2024,PA012,Tokyo,Perth,Economy,2565,Yes,3,Nut Free
5/14/2024,PA002,New York,London,Business Class,667.2,Yes,2,Vegan
7/29/2024,PA003,London,Perth,Premium Economy,615,Yes,1,Nut Free
6/3/2024,PA007,New York,Perth,First Class,636,Yes,1,Egg Free
2/9/2024,PA005,London,Tokyo,First Class,519,Yes,2,Vegetarian
3/10/2024,PA008,Perth,New York,Premium Economy,1737.5,Yes,1,Vegetarian
11/27/2024,PA011,Perth,Tokyo,First Class,509,Yes,1,Vegetarian
6/26/2024,PA002,New York,London,First Class,335,Yes,0,Vegan
10/7/2024,PA002,New York,London,First Class,684,Yes,2,Nut Free
10/29/2024,PA003,London,Perth,Economy,2720,Yes,3,None
10/12/2024,PA009,New York,Tokyo,Business Class,478.8,Yes,1,Egg Free
9/19/2024,PA007,New York,Perth,First Class,231,Yes,2,Nut Free
7/20/2024,PA010,Tokyo,New York,Business Class,370.8,Yes,3,Egg Free
9/21/2024,PA004,Perth,London,Business Class,733.2,Yes,3,Egg Free
7/2/2024,PA002,New York,London,Premium Economy,1142.5,Yes,1,Dairy Free
2/17/2024,PA007,New York,Perth,First Class,245,Yes,3,Vegetarian
8/22/2024,PA009,New York,Tokyo,Premium Economy,1090,Yes,1,Nut Free
12/3/2024,PA004,Perth,London,Premium Economy,1695,Yes,3,Nut Free
12/12/2024,PA009,New York,Tokyo,Economy,1495,Yes,0,Nut Free
3/13/2024,PA004,Perth,London,Business Class,835.2,Yes,0,Dairy Free
9/5/2024,PA012,Tokyo,Perth,Business Class,675.6,Yes,0,Egg Free
8/2/2024,PA002,New York,London,Premium Economy,1060,Yes,2,Vegan
12/10/2024,PA010,Tokyo,New York,Economy,1235,Yes,0,Vegan
10/20/2024,PA005,London,Tokyo,Economy,3175,Yes,0,Vegetarian
6/21/2024,PA009,New York,Tokyo,Premium Economy,1000,Yes,0,None
10/8/2024,PA002,New York,London,Business Class,619.2,Yes,3,Egg Free
7/14/2024,PA007,New York,Perth,Premium Economy,590,Yes,1,Nut Free
9/27/2024,PA007,New York,Perth,Business Class,459.6,Yes,3,Egg Free
11/21/2024,PA010,Tokyo,New York,Business Class,518.4,Yes,2,None
1/29/2024,PA008,Perth,New York,Business Class,831.6,Yes,3,Egg Free
1/26/2024,PA003,London,Perth,Premium Economy,1485,Yes,0,Dairy Free
4/3/2024,PA009,New York,Tokyo,Economy,2290,Yes,0,Dairy Free
5/15/2024,PA011,Perth,Tokyo,First Class,382,Yes,3,Nut Free
11/13/2024,PA003,London,Perth,Economy,1685,Yes,3,Egg Free
11/4/2024,PA007,New York,Perth,Economy,2330,Yes,2,None
6/25/2024,PA012,Tokyo,Perth,Business Class,697.2,Yes,0,Dairy Free
10/14/2024,PA007,New York,Perth,Premium Economy,802.5,Yes,0,Vegan
2/1/2024,PA012,Tokyo,Perth,Premium Economy,647.5,Yes,0,Vegetarian
7/6/2024,PA001,London,New York,Economy,1280,Yes,0,Egg Free
2/19/2024,PA012,Tokyo,Perth,First Class,340,Yes,0,Nut Free
5/11/2024,PA011,Perth,Tokyo,Economy,1565,Yes,3,None
4/12/2024,PA005,London,Tokyo,Economy,2390,Yes,3,Vegetarian
4/6/2024,PA012,Tokyo,Perth,Business Class,302.4,Yes,3,Egg Free
2/7/2024,PA009,New York,Tokyo,First Class,345,Yes,1,None
7/7/2024,PA003,London,Perth,Premium Economy,762.5,Yes,2,Vegetarian
5/8/2024,PA007,New York,Perth,Premium Economy,1030,Yes,2,Egg Free
7/22/2024,PA010,Tokyo,New York,First Class,432,Yes,1,Dairy Free
3/26/2024,PA011,Perth,Tokyo,First Class,348,Yes,3,Vegetarian
3/25/2024,PA004,Perth,London,First Class,516,Yes,3,None
